Rollno,Dept,Year
B24CSA01,CSE,24
B24CSA02,CSE,24
B24CSA03,CSE,24
B24CSA04,CSE,24
B24CSA05,CSE,24
B24CSA06,CSE,24
B24CSA07,CSE,24
B24CSA08,CSE,24
B24CSA09,CSE,24
B24CSA10,CSE,24
B24CSA11,CSE,24
B24CSA12,CSE,24
B24CSB01,CSE,24
B24CSB02,CSE,24
B24CSB03,CSE,24
B24CSB04,CSE,24
B24CSB05,CSE,24
B24CSB06,CSE,24
B24CSB07,CSE,24
B24CSB08,CSE,24
B24CSB09,CSE,24
B24CSB10,CSE,24
B24CSB11,CSE,24
B24CSB12,CSE,24
B24CSB13,CSE,24
B24CSB14,CSE,24
B24CSB15,CSE,24
B24CSB16,CSE,24
B24CSB17,CSE,24
B24CSB18,CSE,24
B24CSB19,CSE,24
B24CSB20,CSE,24
B24CSB21,CSE,24
B24CSB22,CSE,24
B23CSA01,CSE,23
B23CSA02,CSE,23
B23CSA03,CSE,23
B23CSA04,CSE,23
B23CSA05,CSE,23
B23CSA06,CSE,23
B23CSA07,CSE,23
B23CSA08,CSE,23
B23CSA09,CSE,23
B23CSA10,CSE,23
B23CSA11,CSE,23
B23CSA12,CSE,23
B23CSA13,CSE,23
B23CSA14,CSE,23
B23CSA15,CSE,23
B23CSA16,CSE,23
B23CSA17,CSE,23
B23CSA18,CSE,23
B23CSA19,CSE,23
B23CSA20,CSE,23
B23CSB01,CSE,23
B23CSB02,CSE,23
B23CSB03,CSE,23
B23CSB04,CSE,23
B23CSB05,CSE,23
B23CSB06,CSE,23
B23CSB07,CSE,23
B23CSB08,CSE,23
B23CSB09,CSE,23
B23CSB10,CSE,23
B23CSB11,CSE,23
B23CSB12,CSE,23
B23CSB13,CSE,23
B23CSB14,CSE,23
B23CSB15,CSE,23
