Rollno,Dept,Year
B24ECA01,EC,24
B24ECA02,EC,24
B24ECA03,EC,24
B24ECA04,EC,24
B24ECA05,EC,24
B24ECA06,EC,24
B24ECA07,EC,24
B24ECA08,EC,24
B24ECA09,EC,24
B24ECA10,EC,24
B24ECA11,EC,24
B24ECA12,EC,24
B24ECA13,EC,24
B24ECA14,EC,24
B24ECA15,EC,24
B24ECA16,EC,24
B24ECA17,EC,24
B24ECA18,EC,24
B24ECA19,EC,24
B24ECA20,EC,24
B24ECA21,EC,24
B24ECA22,EC,24
B24ECA23,EC,24
B24ECA24,EC,24
B24ECA25,EC,24
B24ECA26,EC,24
B24ECA27,EC,24
B24ECA28,EC,24
B24ECA29,EC,24
B24ECA30,EC,24
B24ECA31,EC,24
B24ECA32,EC,24
B24ECA33,EC,24
B24ECA34,EC,24
B24ECA35,EC,24
B24ECA36,EC,24
B24ECA37,EC,24
B24ECA38,EC,24
B24ECA39,EC,24
B24ECA40,EC,24
B24ECA41,EC,24
B24ECA42,EC,24
B24ECA43,EC,24
B24ECA44,EC,24
B24ECA45,EC,24
B24ECA46,EC,24
B24ECA47,EC,24
B24ECA48,EC,24
B24ECA49,EC,24
B24ECA50,EC,24
B24ECA51,EC,24
B24ECB01,EC,24
B24ECB02,EC,24
B24ECB03,EC,24
B24ECB04,EC,24
B24ECB05,EC,24
B24ECB06,EC,24
B24ECB07,EC,24
B24ECB08,EC,24
B24ECB09,EC,24
B24ECB10,EC,24
B24ECB11,EC,24
B24ECB12,EC,24
B24ECB13,EC,24
B24ECB14,EC,24
B24ECB15,EC,24
B24ECB16,EC,24
B24ECB17,EC,24
B24ECB18,EC,24
B24ECB19,EC,24
B24ECB20,EC,24
B24ECB21,EC,24
B24ECB22,EC,24
B24ECB23,EC,24
B24ECB24,EC,24
B24ECB25,EC,24
B24ECB26,EC,24
B24ECB27,EC,24
B24ECB28,EC,24
B24ECB29,EC,24
B24ECB30,EC,24
B24ECB31,EC,24
B24ECB32,EC,24
B24ECB33,EC,24
B24ECB34,EC,24
