Rollno,Dept,Year
B24EEEA01,EEE,24
B24EEEA02,EEE,24
B24EEEA03,EEE,24
B24EEEA04,EEE,24
B24EEEA05,EEE,24
B24EEEA06,EEE,24
B24EEEA07,EEE,24
B24EEEA08,EEE,24
B24EEEA09,EEE,24
B24EEEA10,EEE,24
B24EEEA11,EEE,24
B24EEEA12,EEE,24
B24EEEA13,EEE,24
B24EEEA14,EEE,24
B24EEEA15,EEE,24
B24EEEA16,EEE,24
B24EEEA17,EEE,24
B24EEEA18,EEE,24
B24EEEA19,EEE,24
B24EEEA20,EEE,24
B24EEEA21,EEE,24
B24EEEA22,EEE,24
B24EEEA23,EEE,24
B24EEEA24,EEE,24
B24EEEA25,EEE,24
B24EEEA26,EEE,24
B24EEEA27,EEE,24
B24EEEA28,EEE,24
B24EEEA29,EEE,24
B24EEEA30,EEE,24
B24EEEA31,EEE,24
B24EEEA32,EEE,24
B24EEEA33,EEE,24
B24EEEA34,EEE,24
B24EEEA35,EEE,24
B24EEEA36,EEE,24
B24EEEA37,EEE,24
B24EEEA38,EEE,24
B24EEEA39,EEE,24
B24EEEA40,EEE,24
B24EEEA41,EEE,24
B24EEEA42,EEE,24
B24EEEA43,EEE,24
B24EEEA44,EEE,24
B24EEEA45,EEE,24
B24EEEA46,EEE,24
B24EEEA47,EEE,24
B24EEEA48,EEE,24
B24EEEA49,EEE,24
B24EEEA50,EEE,24
B24EEEA51,EEE,24
B24EEEB01,EEE,24
B24EEEB02,EEE,24
B24EEEB03,EEE,24
B24EEEB04,EEE,24
B24EEEB05,EEE,24
B24EEEB06,EEE,24
B24EEEB07,EEE,24
B24EEEB08,EEE,24
B24EEEB09,EEE,24
B24EEEB10,EEE,24
B24EEEB11,EEE,24
B24EEEB12,EEE,24
B24EEEB13,EEE,24
B24EEEB14,EEE,24
B24EEEB15,EEE,24
B24EEEB16,EEE,24
B24EEEB17,EEE,24
B24EEEB18,EEE,24
B24EEEB19,EEE,24
B24EEEB20,EEE,24
B24EEEB21,EEE,24
B24EEEB22,EEE,24
B24EEEB23,EEE,24
B24EEEB24,EEE,24
B24EEEB25,EEE,24
B24EEEB26,EEE,24
B24EEEB27,EEE,24
B24EEEB28,EEE,24
B24EEEB29,EEE,24
B24EEEB30,EEE,24
B24EEEB31,EEE,24
B24EEEB32,EEE,24
B24EEEB33,EEE,24
B24EEEB34,EEE,24
