Rollno,Dept,Year
B24MEA01,MECH,24
B24MEA02,MECH,24
B24MEA03,MECH,24
B24MEA04,MECH,24
B24MEA05,MECH,24
B24MEA06,MECH,24
B24MEA07,MECH,24
B24MEA08,MECH,24
B24MEB01,MECH,24
B24MEB02,MECH,24
B24MEB03,MECH,24
B24MEB04,MECH,24
B24MEB05,MECH,24
B24MEB06,MECH,24
B24MEB07,MECH,24
B24MEB08,MECH,24
B24MEB09,MECH,24
B24MEB10,MECH,24
B24MEB11,MECH,24
B24MEB12,MECH,24
B24MEC01,MECH,24
B24MEC02,MECH,24
B24MEC03,MECH,24
B24MEC04,MECH,24
B24MEC05,MECH,24
B24MEC06,MECH,24
B24MEC07,MECH,24
B24MEC08,MECH,24
B24MEC09,MECH,24
B24MEC10,MECH,24
B24MEC11,MECH,24
B24MEC12,MECH,24
B24MEC13,MECH,24
B24MEC14,MECH,24
B24MEC15,MECH,24
B24MEC16,MECH,24
